Product_Code,Product_Name,Location_ID,Wide,High,Deep,X_SIZE,Y_SIZE,Z_SIZE,Height,Width,Depth,Full_height,Full_width,Full_depth,Location
3700010750,GAIN LQ FABRIC SOFTENER ORIGINAL FRESH 1,100,1,1,5,118.96 in,49.00 in,2.20 in,11.55 in,9.09 in,22.80 in,11.55 in,9.09 in,4.56 in,4
7261345405,SNUGGLE LIQ EXHIL WHT LAV & SNDWD PRPL 9,101,1,1,5,128.05 in,49.00 in,3.00 in,10.32 in,8.00 in,22.00 in,10.32 in,8.00 in,4.40 in,4
7261346406,SNGGL SUPER FRESH SFTNR,102,1,1,5,136.05 in,49.00 in,3.70 in,11.00 in,8.20 in,21.30 in,11.00 in,8.20 in,4.26 in,4
3700010776,DOWNY LQ AF 4/129Z 150LD,72,4,1,5,0.00 in,35.50 in,2.20 in,11.55 in,37.42 in,22.80 in,11.55 in,9.35 in,4.56 in,3
3700075943,Downy Cool Cotton 150  load 129 oz,73,2,1,5,37.42 in,35.50 in,2.20 in,11.96 in,18.71 in,22.80 in,11.96 in,9.35 in,4.56 in,3
3700029516,DOWNY LQ FREE&GNTL 4/90Z 105LD,74,2,1,4,56.12 in,35.50 in,3.28 in,11.02 in,15.25 in,21.72 in,11.02 in,7.62 in,5.43 in,3
3700082667,Downy Infusions Bliss,75,1,1,4,71.24 in,35.50 in,3.28 in,11.43 in,7.36 in,21.72 in,11.43 in,7.36 in,5.43 in,3
3700025007,DOWNY BLISS 83 LOAD 56 OZ Sparkling Amber & Rose,76,1,1,6,78.73 in,35.50 in,2.56 in,11.16 in,6.56 in,22.44 in,11.16 in,6.56 in,3.74 in,3
3700012763,DOWNY BLISS 48 LOAD 32 oz,77,1,1,7,85.30 in,35.50 in,3.02 in,10.75 in,5.58 in,21.98 in,10.75 in,5.58 in,3.14 in,3
3700076334,DWY INF Amber Blossom 14.8 oz,78,1,1,6,90.88 in,35.50 in,3.22 in,10.12 in,3.89 in,21.78 in,10.12 in,3.89 in,3.63 in,3
3700095284,DOWNY 90 CT BLISS  SHEETS Sparkling Amber & Rose,79,1,1,11,94.77 in,35.50 in,1.57 in,7.09 in,4.55 in,23.43 in,7.09 in,4.55 in,2.13 in,3
3700068226,GAIN LQ FABRIC SOFTENER MB 174LD,80,1,1,5,99.33 in,35.50 in,2.20 in,11.96 in,9.96 in,22.80 in,11.96 in,9.96 in,4.56 in,3
3700098450,GAIN LFE MB 4/129Z 150LD,81,1,1,5,109.29 in,35.50 in,2.20 in,11.55 in,9.35 in,22.80 in,11.55 in,9.35 in,4.56 in,3
3077200315,Gain LFE Spring Daydream150Ld,82,1,1,5,118.51 in,35.50 in,2.15 in,11.97 in,9.09 in,22.85 in,11.97 in,9.09 in,4.57 in,3
7261345522,SNUGGLE LQ EXHIL BL IRIS & BAMB SLK BL 9,83,2,1,5,127.74 in,35.50 in,3.00 in,10.32 in,16.53 in,22.00 in,10.32 in,8.26 in,4.40 in,3
3700065163,Downy LQ Intense Spring Rush,30,2,1,6,0.00 in,21.50 in,0.52 in,11.39 in,13.58 in,24.48 in,11.39 in,6.79 in,4.08 in,2
3700029511,DOWNY LQ AF 4/90Z 105LD,31,3,1,5,13.58 in,21.50 in,0.00 in,10.88 in,21.54 in,25.00 in,10.88 in,7.18 in,5.00 in,2
3700075490,DOWNY LQ Cool Cotton 4/90Z 105LD,32,1,1,5,35.11 in,21.50 in,0.00 in,10.88 in,7.18 in,25.00 in,10.88 in,7.18 in,5.00 in,2
3700029512,DOWNY LQ CB 4/90Z 105LD,33,2,1,5,42.29 in,21.50 in,0.00 in,10.88 in,14.36 in,25.00 in,10.88 in,7.18 in,5.00 in,2
