IX_Position,Row,UPC,Name,Wide,High,Deep,X,Y,Z,Full height,Full width,Full depth
154,154,3700079718,GAIN FE FIREWORKS MOONLIGHT BREEZE 7.2 oz,1,1,8,172.088462,21,0.76,8.03,3.132308,3.03
155,155,3700076362,GAIN FE FIREWORKS ORIG 20.1,1,1,6,175.220769,21,3.1,10.89,3.722308,3.65
156,156,3700076343,GAIN FE FIREWORKS ORIG 14.8,1,1,6,178.943077,21,3.04,10.12,3.762308,3.66
157,157,3700079716,GAIN FE FIREWORKS Orig 7.2 oz,1,1,8,182.705385,21,0.76,8.03,3.132308,3.03
158,158,3700048434,GAIN SCENT BLAST 6 OZ FF,1,1,8,185.837692,21,0.76,8.03,3.132308,3.03
159,159,3700048462,GAIN SCENT BLAST 6 OZ MB,1,1,8,188.97,21,0.76,8.03,3.132308,3.03
160,160,3700082386,DOWNY SHT AF 9/105CT,1,2,10,192,18,1,4.29,8.182,2.4
161,161,3700088998,Downy Cool Cotton Sheet 105 ct,1,2,6,200.182,18,2.38,4.29,8.182,3.77
162,162,3700080252,BOUNCE SHT FREE&GENTLE 6/120 CT,1,2,10,208.364,18,0.8,4.29,8.182,2.42
163,163,3700024684,BOUNCE SHT FREE&GENTLE 6/240USE,1,2,5,216.546,18,0.6,4.29,8.182,4.88
164,164,PL4,PL SHEET,2,2,16,224.728,18,0.2,4.29,8.182,1.55
165,165,3700067257,DOWNY LQ CB 174,1,1,6,-0.245,7,1,11.83,9.7,4.5
166,166,3700010778,DOWNY LQ CB 4/129Z 150LD,1,1,6,9.455,7,0.64,11.55,9.09,4.56
167,167,3700029512,DOWNY LQ CB 4/90Z 105LD,1,1,5,18.545,7,3,10.88,7,5
168,168,3700035361,DOWNY LQ MS 4/129Z 150LD,1,1,6,25.545,7,0.64,11.55,9.09,4.56
169,169,3700029515,DOWNY LQ MS 4/90Z 105LD,1,1,5,34.635,7,3,10.87,7.01,5
170,170,3500039371,SUAVITEL FABRIC SOFTENER FIELD FLOWERS 1,2,1,5,41.645,7,1.05,12.5,7.65,5.39
171,171,3500039013,SUAVITEL LIQUID FIELD FLOWER 50 OZ,1,1,10,56.945,7,0.5,12,5.85,2.75
172,172,3500039372,135 OZ SVTL LQ N-CON MRNG SN,2,1,5,62.795,7,1.05,12.5,7.65,5.39
173,173,3500039014,SUAVITEL LIQUID FABRIC SOFTENER MORNING,1,1,10,78.095,7,0.5,12,5.85,2.75
174,174,003500039015,50 OZ SVTL LQ N-CON SL 003500039015,2,1,9,83.945,7,1,12,5.85,3
175,175,GAIN Dilute,GAIN Dilute,2,1,7,95.645,7,0.14,11.9,7.65,3.98
176,176,DwnyFrshLavBl50,Downy Dilute,2,1,7,110.945,7,0.14,11.9,7.65,3.98
177,177,PL,PL,3,1,8,126.245,7,0,11.25,6,3.5
178,178,2420004305,PUREX CRYSTALS FRESH VIBES 21OZ,1,1,10,143.825,7,0.5,10.51,3.55,2.75
179,179,2420003813,PUREX CRYSTALS FABULOUSLY FRESH 21OZ,2,1,10,147.375,7,0.5,10.51,3.55,2.75
180,180,2420003867,PUREX_BEADS_BASE_FABULOUSLY FRESH_60 LOAD 39 OUNCES,2,1,6,154.475,7,1.9,11.3,5.7,4.35
181,181,2420003834,PUREX CRYSTALS LAVENDER BLOSSOM 21OZ,2,1,10,165.875,7,0.5,10.51,3.55,2.75
182,182,2420003861,39 OZ PX-CLS DET BSTR CRYSTAL 002420003861,1,1,6,172.975,7,1.9,11.3,5.7,4.35
183,183,2420003828,PUREX CRYSTALS FRESH SPRING WATERS 21OZ,2,1,10,178.675,7,0.5,10.51,3.55,2.75
184,184,3500039027,SUAVITEL MORNING SUN 14.7 OZ,2,1,10,185.775,7,0,9.5,3.2,2.8
185,185,3500046416,SUAVITEL SHEETS Complete Yellow,2,2,11,192,7,1.6,4.29,8.12,2.4
186,186,3500046415,SUAVITEL SHEETS Complete Field Flowers Blue,1,2,11,208.24,7,1.6,4.29,8.12,2.4
187,187,3500039167,SUAVITEL SHEETS FIELD FLOWERS 80 CT,2,2,11,216.36,7,1.6,4.28,8.12,2.4
188,188,2420008993,PUREX MTN BRZ 40,1,2,16,232.6,7,0.8,4.05,8.43,1.7
